סמל היישוב,שם יישוב,"ממוצע תלמידים לכיתה בבתי ספר יסודיים תשע""ט 2018/19","אחוז תלמידים נושרים סה""כ תשע""ט 2018/19","אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב תשע""ט 2018/19","אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב תשע""ט 2018/19","השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35 תש""ף 2019/20","השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב תש""ף 2019/20","השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה תש""ף 2019/20",עובדי הוראה מספר עובדי הוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
246,נתיבות,23.3,1.7,62.59,39.8,14.68,31.4,2.27,794,28.21,13,2.55
"7,400",נתניה,27.29,1.03,73.36,62.26,22.35,37.6,2.27,"3,768",36.07,11.35,2.73
525,סאג'ור,25.13,0.65,78.48,67.09,16.12,..,3.68,89,42.7,11.88,2.67
587,סביון*,30.36,0.79,94.05,90.48,51.65,..,4,..,..,..,..
"7,500",סח'נין,26.31,1.43,70.92,61.58,15.78,39.5,3.44,719,47.15,11.25,2.95
"4,501",ע'ג'ר,26.5,2.41,87.76,69.39,9.81,..,2.69,62,53.23,10.03,3.33
666,עומר,28.66,0.83,86.89,83.61,59.72,..,4.06,135,42.22,14.23,2.31
530,עיילבון,29.22,1.56,55.34,47.57,21.47,..,3.54,98,37.76,13.22,2.6
511,עילוט,24.22,2.87,62.58,50.32,2.94,16,1.17,197,28.93,11.55,2.82
532,עין מאהל,23.15,0.52,34.93,26.27,9.3,21.3,1.96,295,38.64,12.19,2.72
"4,502",עין קנייא,24.82,1.59,89.19,72.97,6.65,..,2.88,..,..,..,..
"7,600",עכו,25.54,1.31,70.88,48.32,13.37,34.2,2.42,"1,102",32.49,9.01,3.58
"3,660",עמנואל,15.17,3.49,43.28,20.9,6.68,..,0.79,103,23.3,10.92,2.31
534,עספיא,24.1,0.98,84.51,75.66,14.38,26.8,2.96,285,33.68,9.47,3.39
"7,700",עפולה,24.77,1.58,65.64,51.28,16.57,33.5,2.89,"1,026",35.58,9.14,3.39
531,עראבה,26.54,1.19,77.65,62.94,16.18,30.2,2.96,607,39.21,11.68,2.88
"2,560",ערד,21.62,1.27,51.48,42.3,12.36,22.9,1.53,448,30.36,11.68,2.48
637,ערערה,27.24,1.21,68.07,57.78,14.85,17.9,2.32,424,31.84,12.74,2.57
"1,192",ערערה-בנגב,25.94,1.64,25.41,13.51,7.26,12.4,1.17,639,26.92,9.69,3.56
537,פוריידיס,26.95,0.53,72.83,46.42,8.63,17,1.9,326,39.26,10.51,3.13
535,פסוטה,25.8,..,74.19,72.58,23.54,..,4.56,..,..,..,..
536,פקיעין (בוקייעה),25.85,0.55,92.71,88.54,20.12,43.1,3.62,106,28.3,11.16,2.84
"7,800",פרדס חנה-כרכור,27.17,1.61,75.48,64.94,41.91,30.1,2.43,824,36.04,11.17,2.65
171,פרדסייה,27.89,0.95,90.8,78.16,48.06,48.2,4.3,..,..,..,..
"7,900",פתח תקווה,27.67,0.73,74.84,66.9,33.22,41.8,2.52,"4,726",36.29,10.62,2.85
"8,000",צפת,22.63,3.25,48.19,36.95,15.39,33.1,2.72,931,31.47,9.39,3.07
"3,557",קדומים,24.13,1.56,84.78,77.17,54.37,..,4.17,216,47.69,6.94,4.15
195,קדימה-צורן,29.51,0.38,88.56,84.57,48.97,35.8,3.17,416,38.94,12.98,2.42
638,קלנסווה,28.05,0.64,59.06,49.9,11.7,26,2.92,526,34.6,12.6,2.59
"4,100",קצרין,23.58,2.01,66.67,54.05,17.46,..,3.36,169,37.87,10.17,3.1
"2,620",קריית אונו,29.43,0.55,89.46,88.29,56.84,55.8,3.3,723,43.98,11.88,2.6
"3,611",קריית ארבע,20.85,2.11,68.33,55,26.43,35.7,4.5,365,39.18,5.69,4.96
